title,code,median annual wage 2012,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
Boilermakers,47-2011,"$56,560",9.0,51.4,26.3,9.9,2.8,0.0,0.6
Brickmasons and blockmasons,47-2021,"$46,440",33.7,45.2,14.5,2.8,3.6,0.3,0.0
Stonemasons,47-2022,"$37,350",33.7,45.2,14.5,2.8,3.6,0.3,0.0
Carpenters,47-2031,"$39,940",23.3,43.2,20.8,5.5,6.2,0.8,0.2
Carpet installers,47-2041,"$36,740",34.7,41.3,16.0,2.8,4.6,0.4,0.2
"Floor layers, except carpet, wood, and hard tiles",47-2042,"$35,510",34.7,41.3,16.0,2.8,4.6,0.4,0.2
Floor sanders and finishers,47-2043,"$33,240",34.7,41.3,16.0,2.8,4.6,0.4,0.2
Tile and marble setters,47-2044,"$37,040",34.7,41.3,16.0,2.8,4.6,0.4,0.2
Cement masons and concrete finishers,47-2051,"$35,760",37.7,46.8,11.1,1.8,2.0,0.4,0.1
Terrazzo workers and finishers,47-2053,"$39,740",37.7,46.8,11.1,1.8,2.0,0.4,0.1
Construction laborers,47-2061,"$29,990",33.1,40.6,16.8,4.0,4.5,0.7,0.2
"Paving, surfacing, and tamping equipment operators",47-2071,"$35,840",39.3,43.1,14.1,2.1,1.4,0.0,0.0
Pile-driver operators,47-2072,"$48,480",21.2,53.4,18.0,4.0,3.0,0.4,0.1
Operating engineers and other construction equipment operators,47-2073,"$41,870",21.2,53.4,18.0,4.0,3.0,0.4,0.1
Drywall and ceiling tile installers,47-2081,"$37,210",44.6,40.4,10.9,2.0,1.9,0.1,0.1
Tapers,47-2082,"$45,290",44.6,40.4,10.9,2.0,1.9,0.1,0.1
Electricians,47-2111,"$49,840",7.2,39.5,32.5,13.6,6.3,0.8,0.1
Glaziers,47-2121,"$37,610",23.1,46.2,21.9,4.1,4.7,0.0,0.0
"Insulation workers, floor, ceiling, and wall",47-2131,"$32,360",33.6,40.1,19.8,3.3,2.2,1.0,0.0
"Insulation workers, mechanical",47-2132,"$39,170",33.6,40.1,19.8,3.3,2.2,1.0,0.0
"Painters, construction and maintenance",47-2141,"$35,190",34.1,38.5,16.6,3.6,6.2,0.7,0.2
Paperhangers,47-2142,"$34,600",11.6,45.7,28.5,6.8,6.3,1.1,0.0
Pipelayers,47-2151,"$36,180",16.8,46.2,25.7,6.9,3.6,0.6,0.1
"Plumbers, pipefitters, and steamfitters",47-2152,"$49,140",16.8,46.2,25.7,6.9,3.6,0.6,0.1
Plasterers and stucco masons,47-2161,"$37,130",50.0,33.3,10.8,3.5,2.1,0.0,0.2
Reinforcing iron and rebar workers,47-2171,"$45,910",26.0,46.0,20.4,3.5,2.5,1.6,0.0
Roofers,47-2181,"$35,290",45.8,36.9,11.9,2.2,2.7,0.4,0.1
Sheet metal workers,47-2211,"$43,290",16.5,47.3,25.7,7.1,3.2,0.2,0.0
Structural iron and steel workers,47-2221,"$46,140",18.5,47.3,25.1,5.3,3.4,0.2,0.1
Solar photovoltaic installers,47-2231,"$37,900",22.0,41.2,24.1,4.1,7.4,1.1,0.2
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,"$28,220",39.8,39.1,15.4,2.5,2.9,0.4,0.0
Helpers--carpenters,47-3012,"$25,550",39.8,39.1,15.4,2.5,2.9,0.4,0.0
Helpers--electricians,47-3013,"$27,670",39.8,39.1,15.4,2.5,2.9,0.4,0.0
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,"$24,290",39.8,39.1,15.4,2.5,2.9,0.4,0.0
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,"$26,670",39.8,39.1,15.4,2.5,2.9,0.4,0.0
Helpers--roofers,47-3016,"$23,300",39.8,39.1,15.4,2.5,2.9,0.4,0.0
"Helpers, construction trades, all other",47-3019,"$25,610",39.8,39.1,15.4,2.5,2.9,0.4,0.0
Construction and building inspectors,47-4011,"$53,450",2.0,26.4,32.4,12.5,21.4,4.7,0.6
Elevator installers and repairers,47-4021,"$76,650",3.4,46.2,33.4,11.8,5.2,0.0,0.0
Fence erectors,47-4031,"$30,190",36.8,36.6,17.8,3.7,4.3,0.8,0.0
Hazardous materials removal workers,47-4041,"$37,590",21.5,36.7,22.5,5.8,10.5,2.2,0.7
Highway maintenance workers,47-4051,"$35,260",15.1,54.8,22.4,4.7,2.7,0.2,0.0
Rail-track laying and maintenance equipment operators,47-4061,"$45,920",10.9,52.9,19.0,10.8,6.3,0.0,0.0
Septic tank servicers and sewer pipe cleaners,47-4071,"$34,020",22.0,41.2,24.1,4.1,7.4,1.1,0.2
Segmental pavers,47-4091,"$33,720",22.0,41.2,24.1,4.1,7.4,1.1,0.2
"Construction and related workers, all other",47-4099,"$34,990",22.0,41.2,24.1,4.1,7.4,1.1,0.2
"Derrick operators, oil and gas",47-5011,"$46,900",26.4,45.8,18.9,3.3,5.3,0.2,0.1
"Rotary drill operators, oil and gas",47-5012,"$49,220",26.4,45.8,18.9,3.3,5.3,0.2,0.1
"Service unit operators, oil, gas, and mining",47-5013,"$41,970",26.4,45.8,18.9,3.3,5.3,0.2,0.1
"Earth drillers, except oil and gas",47-5021,"$40,790",15.8,50.2,23.1,6.1,4.6,0.1,0.1
"Explosives workers, ordnance handling experts, and blasters",47-5031,"$48,620",7.1,41.4,26.7,12.5,10.0,1.7,0.5
Continuous mining machine operators,47-5041,"$51,950",15.7,55.5,18.2,5.5,4.4,0.6,0.0
Mine cutting and channeling machine operators,47-5042,"$47,950",15.7,55.5,18.2,5.5,4.4,0.6,0.0
"Mining machine operators, all other",47-5049,"$46,810",15.7,55.5,18.2,5.5,4.4,0.6,0.0
"Rock splitters, quarry",47-5051,"$32,280",22.4,50.9,19.3,4.0,3.2,0.1,0.0
"Roof bolters, mining",47-5061,"$54,320",22.4,50.9,19.3,4.0,3.2,0.1,0.0
"Roustabouts, oil and gas",47-5071,"$34,130",26.4,45.8,18.9,3.3,5.3,0.2,0.1
Helpers--extraction workers,47-5081,"$31,460",22.4,50.9,19.3,4.0,3.2,0.1,0.0
"Extraction workers, all other",47-5099,"$38,810",22.4,50.9,19.3,4.0,3.2,0.1,0.0
"First-line supervisors of mechanics, installers, and repairers",49-1011,"$60,250",6.4,35.8,31.4,12.1,11.5,2.7,0.2
"Computer, automated teller, and office machine repairers",49-2011,"$36,620",2.2,19.1,33.1,20.1,21.5,3.6,0.5
"Radio, cellular, and tower equipment installers and repairs",49-2021,"$43,900",4.0,30.7,34.4,17.7,11.2,1.5,0.6
"Telecommunications equipment installers and repairers, except line installers",49-2022,"$54,530",4.0,30.7,34.4,17.7,11.2,1.5,0.6
Avionics technicians,49-2091,"$55,350",1.8,26.1,36.7,21.9,9.4,3.3,0.7
"Electric motor, power tool, and related repairers",49-2092,"$36,240",9.3,36.9,30.9,15.5,6.1,0.9,0.3
"Electrical and electronics installers and repairers, transportation equipment",49-2093,"$51,240",2.5,26.7,34.7,24.7,10.5,0.7,0.2
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,"$52,650",2.5,26.7,34.7,24.7,10.5,0.7,0.2
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,"$68,810",2.5,26.7,34.7,24.7,10.5,0.7,0.2
"Electronic equipment installers and repairers, motor vehicles",49-2096,"$31,340",9.5,34.8,31.8,19.0,4.7,0.0,0.1
Electronic home entertainment equipment installers and repairers,49-2097,"$35,060",9.5,32.0,36.0,13.2,7.9,1.3,0.1
Security and fire alarm systems installers,49-2098,"$41,030",8.0,35.5,32.3,14.5,8.1,1.4,0.2
Aircraft mechanics and service technicians,49-3011,"$55,210",2.4,27.6,38.9,20.7,9.2,0.8,0.5
Automotive body and related repairers,49-3021,"$38,380",22.0,51.7,17.0,6.3,2.9,0.1,0.0
Automotive glass installers and repairers,49-3022,"$32,650",19.4,50.0,19.9,6.8,3.8,0.0,0.0
Automotive service technicians and mechanics,49-3023,"$36,610",19.0,43.9,22.0,11.0,3.4,0.5,0.1
Bus and truck mechanics and diesel engine specialists,49-3031,"$42,320",14.5,48.9,23.3,10.1,2.9,0.3,0.0
Farm equipment mechanics and service technicians,49-3041,"$34,760",14.3,48.2,24.0,9.8,3.5,0.2,0.0
"Mobile heavy equipment mechanics, except engines",49-3042,"$46,050",14.3,48.2,24.0,9.8,3.5,0.2,0.0
Rail car repairers,49-3043,"$48,500",14.3,48.2,24.0,9.8,3.5,0.2,0.0
Motorboat mechanics and service technicians,49-3051,"$35,530",14.7,46.9,26.1,8.2,4.0,0.1,0.1
Motorcycle mechanics,49-3052,"$33,140",14.7,46.9,26.1,8.2,4.0,0.1,0.1
Outdoor power equipment and other small engine mechanics,49-3053,"$30,510",14.7,46.9,26.1,8.2,4.0,0.1,0.1
Bicycle repairers,49-3091,"$24,150",28.4,42.8,18.9,4.7,4.7,0.3,0.2
Recreational vehicle service technicians,49-3092,"$34,540",28.4,42.8,18.9,4.7,4.7,0.3,0.2
Tire repairers and changers,49-3093,"$23,410",28.4,42.8,18.9,4.7,4.7,0.3,0.2
Mechanical door repairers,49-9011,"$36,110",5.5,47.3,30.9,11.0,4.9,0.5,0.0
"Control and valve installers and repairers, except mechanical door",49-9012,"$50,960",5.5,47.3,30.9,11.0,4.9,0.5,0.0
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,"$43,640",10.6,42.6,29.8,12.9,3.5,0.5,0.1
Home appliance repairers,49-9031,"$35,170",14.2,45.0,24.9,8.0,6.3,1.4,0.1
Industrial machinery mechanics,49-9041,"$46,920",10.9,42.6,28.6,12.3,5.1,0.5,0.1
"Maintenance workers, machinery",49-9043,"$40,620",12.9,44.4,25.0,13.5,3.9,0.1,0.2
Millwrights,49-9044,"$49,510",7.7,48.1,31.2,9.6,3.2,0.1,0.1
"Refractory materials repairers, except brickmasons",49-9045,"$41,370",10.9,42.6,28.6,12.3,5.1,0.5,0.1
Electrical power-line installers and repairers,49-9051,"$63,250",5.7,44.9,32.1,11.5,5.1,0.4,0.4
Telecommunications line installers and repairers,49-9052,"$51,410",6.0,37.8,34.3,11.8,9.3,0.7,0.1
Camera and photographic equipment repairers,49-9061,"$37,980",4.6,22.3,29.4,24.0,16.4,2.7,0.6
Medical equipment repairers,49-9062,"$44,570",4.6,22.3,29.4,24.0,16.4,2.7,0.6
Musical instrument repairers and tuners,49-9063,"$30,630",4.6,22.3,29.4,24.0,16.4,2.7,0.6
Watch repairers,49-9064,"$37,650",4.6,22.3,29.4,24.0,16.4,2.7,0.6
"Precision instrument and equipment repairers, all other",49-9069,"$52,270",4.6,22.3,29.4,24.0,16.4,2.7,0.6
"Maintenance and repair workers, general",49-9071,"$35,210",14.0,44.0,25.4,10.5,5.0,0.8,0.1
Wind turbine service technicians,49-9081,"$45,970",14.2,38.5,26.8,10.3,8.4,1.6,0.3
"Coin, vending, and amusement machine servicers and repairers",49-9091,"$31,150",10.4,43.2,26.2,9.5,10.0,0.4,0.4
Commercial divers,49-9092,"$46,880",14.2,38.5,26.8,10.3,8.4,1.6,0.3
"Fabric menders, except garment",49-9093,"$27,020",14.2,38.5,26.8,10.3,8.4,1.6,0.3
Locksmiths and safe repairers,49-9094,"$37,560",9.0,47.1,30.0,5.6,7.0,1.1,0.2
Manufactured building and mobile home installers,49-9095,"$28,080",39.1,40.1,14.6,2.6,3.5,0.0,0.0
Riggers,49-9096,"$42,660",24.0,41.8,26.8,3.9,3.6,0.0,0.0
Signal and track switch repairers,49-9097,"$55,450",14.2,38.5,26.8,10.3,8.4,1.6,0.3
"Helpers--installation, maintenance, and repair workers",49-9098,"$24,210",33.6,41.5,17.3,3.8,2.8,0.7,0.2
"Installation, maintenance, and repair workers, all other",49-9099,"$36,620",14.2,38.5,26.8,10.3,8.4,1.6,0.3
First-line supervisors of production and operating workers,51-1011,"$54,040",10.1,39.1,26.7,7.7,13.0,2.9,0.5
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,"$45,950",15.8,45.1,23.8,8.2,5.6,1.5,0.0
"Coil winders, tapers, and finishers",51-2021,"$30,840",21.4,44.7,21.9,7.0,3.9,0.9,0.2
Electrical and electronic equipment assemblers,51-2022,"$28,810",21.4,44.7,21.9,7.0,3.9,0.9,0.2
Electromechanical equipment assemblers,51-2023,"$31,460",21.4,44.7,21.9,7.0,3.9,0.9,0.2
Engine and other machine assemblers,51-2031,"$36,110",12.4,48.3,24.4,10.8,4.0,0.0,0.0
Structural metal fabricators and fitters,51-2041,"$35,750",12.2,49.8,27.4,6.1,4.1,0.4,0.0
Fiberglass laminators and fabricators,51-2091,"$28,830",19.7,48.3,20.8,5.9,4.7,0.4,0.2
Team assemblers,51-2092,"$27,640",19.7,48.3,20.8,5.9,4.7,0.4,0.2
Timing device assemblers and adjusters,51-2093,"$25,600",19.7,48.3,20.8,5.9,4.7,0.4,0.2
"Assemblers and fabricators, all other",51-2099,"$25,920",19.7,48.3,20.8,5.9,4.7,0.4,0.2
Bakers,51-3011,"$23,140",27.4,39.6,18.8,6.1,6.8,1.0,0.3
Butchers and meat cutters,51-3021,"$28,490",35.2,42.9,14.6,3.8,3.0,0.4,0.1
"Meat, poultry, and fish cutters and trimmers",51-3022,"$22,830",35.2,42.9,14.6,3.8,3.0,0.4,0.1
Slaughterers and meat packers,51-3023,"$24,330",35.2,42.9,14.6,3.8,3.0,0.4,0.1
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,"$28,430",23.5,45.8,19.0,4.1,6.1,1.5,0.0
Food batchmakers,51-3092,"$26,550",24.7,41.6,20.2,7.7,5.4,0.3,0.1
Food cooking machine operators and tenders,51-3093,"$26,350",30.4,49.6,16.5,0.4,2.8,0.3,0.0
"Food processing workers, all other",51-3099,"$23,140",33.2,41.3,16.2,5.0,3.6,0.6,0.1
"Computer-controlled machine tool operators, metal and plastic",51-4011,"$35,580",6.1,44.7,31.4,11.0,5.2,1.6,0.0
"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,"$45,920",6.1,44.7,31.4,11.0,5.2,1.6,0.0
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,"$32,330",15.1,50.1,24.3,6.7,3.8,0.0,0.0
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,"$34,060",14.2,53.5,21.7,6.5,4.0,0.0,0.0
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,"$37,390",18.0,56.5,20.2,3.2,1.4,0.8,0.0
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,"$29,690",23.2,52.9,17.6,4.1,2.1,0.1,0.0
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,"$33,940",10.6,60.4,16.8,10.2,2.0,0.0,0.0
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,"$31,620",25.9,49.2,17.0,4.7,3.0,0.3,0.0
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,"$36,540",14.8,53.7,20.4,6.4,4.0,0.6,0.0
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,"$35,820",21.3,49.5,19.9,5.2,3.6,0.3,0.1
Machinists,51-4041,"$39,500",10.1,46.1,30.1,10.4,2.7,0.5,0.1
Metal-refining furnace operators and tenders,51-4051,"$38,900",14.2,54.5,21.7,5.6,3.7,0.3,0.0
"Pourers and casters, metal",51-4052,"$34,060",14.2,54.5,21.7,5.6,3.7,0.3,0.0
"Model makers, metal and plastic",51-4061,"$45,850",7.2,31.0,26.9,14.9,16.5,3.5,0.0
"Patternmakers, metal and plastic",51-4062,"$42,440",7.2,31.0,26.9,14.9,16.5,3.5,0.0
Foundry mold and coremakers,51-4071,"$30,540",19.2,51.5,22.3,4.8,2.0,0.2,0.0
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,"$28,630",19.2,51.5,22.3,4.8,2.0,0.2,0.0
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,"$33,960",21.3,49.5,19.9,5.2,3.6,0.3,0.1
Tool and die makers,51-4111,"$47,000",6.0,42.3,34.8,13.2,3.4,0.3,0.0
"Welders, cutters, solderers, and brazers",51-4121,"$36,300",22.6,49.5,20.2,5.8,1.7,0.2,0.1
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,"$34,720",22.6,49.5,20.2,5.8,1.7,0.2,0.1
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,"$34,010",13.6,50.0,25.9,4.3,5.0,0.0,1.2
"Layout workers, metal and plastic",51-4192,"$42,050",21.3,49.5,19.9,5.2,3.6,0.3,0.1
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,"$29,720",23.2,47.9,15.7,7.5,4.7,0.3,0.7
"Tool grinders, filers, and sharpeners",51-4194,"$34,300",16.2,53.4,20.0,5.8,2.8,0.7,1.1
"Metal workers and plastic workers, all other",51-4199,"$31,060",21.3,49.5,19.9,5.2,3.6,0.3,0.1
Prepress technicians and workers,51-5111,"$37,260",7.3,32.7,30.8,9.5,18.1,1.4,0.3
Printing press operators,51-5112,"$34,690",12.9,48.8,23.4,8.1,5.7,0.8,0.2
Print binding and finishing workers,51-5113,"$29,750",13.2,52.1,20.5,6.1,7.1,0.4,0.6
Laundry and dry-cleaning workers,51-6011,"$19,930",38.1,40.4,13.3,3.1,4.5,0.5,0.1
"Pressers, textile, garment, and related materials",51-6021,"$19,670",47.6,37.0,11.0,2.4,1.4,0.5,0.0
Sewing machine operators,51-6031,"$21,270",43.0,37.7,11.9,3.1,3.5,0.6,0.1
Shoe and leather workers and repairers,51-6041,"$23,950",25.1,38.6,17.3,6.2,10.4,1.0,1.3
Shoe machine operators and tenders,51-6042,"$24,310",36.1,42.0,9.1,6.2,6.6,0.0,0.0
"Sewers, hand",51-6051,"$22,820",28.7,30.7,16.5,7.8,12.9,2.7,0.7
"Tailors, dressmakers, and custom sewers",51-6052,"$26,280",28.7,30.7,16.5,7.8,12.9,2.7,0.7
Textile bleaching and dyeing machine operators and tenders,51-6061,"$24,210",31.4,45.2,16.0,0.7,4.8,1.1,0.8
"Textile cutting machine setters, operators, and tenders",51-6062,"$24,050",31.4,45.2,16.0,0.7,4.8,1.1,0.8
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,"$26,540",29.6,50.4,13.9,2.4,3.7,0.0,0.0
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,"$25,850",37.9,45.4,14.0,1.6,0.7,0.0,0.4
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,"$32,430",23.8,35.7,18.0,7.5,13.0,1.6,0.4
Fabric and apparel patternmakers,51-6092,"$38,650",23.8,35.7,18.0,7.5,13.0,1.6,0.4
Upholsterers,51-6093,"$29,930",30.9,44.1,16.2,3.9,4.3,0.6,0.0
"Textile, apparel, and furnishings workers, all other",51-6099,"$25,930",23.8,35.7,18.0,7.5,13.0,1.6,0.4
Cabinetmakers and bench carpenters,51-7011,"$30,980",18.0,47.0,21.0,5.0,7.4,1.2,0.4
Furniture finishers,51-7021,"$28,500",26.9,39.1,23.5,3.7,5.2,1.1,0.4
"Model makers, wood",51-7031,"$28,800",19.2,40.6,19.1,6.0,12.1,2.7,0.3
"Patternmakers, wood",51-7032,"$39,840",19.2,40.6,19.1,6.0,12.1,2.7,0.3
"Sawing machine setters, operators, and tenders, wood",51-7041,"$26,190",38.1,44.2,11.4,3.2,1.8,1.1,0.1
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,"$27,030",30.5,47.0,15.4,3.8,2.8,0.5,0.0
"Woodworkers, all other",51-7099,"$27,360",19.2,40.6,19.1,6.0,12.1,2.7,0.3
Nuclear power reactor operators,51-8011,"$74,990",1.8,31.3,35.3,15.7,15.0,0.9,0.1
Power distributors and dispatchers,51-8012,"$71,690",1.8,31.3,35.3,15.7,15.0,0.9,0.1
Power plant operators,51-8013,"$66,130",1.8,31.3,35.3,15.7,15.0,0.9,0.1
Stationary engineers and boiler operators,51-8021,"$53,560",7.0,38.7,30.9,11.5,8.9,2.5,0.5
Water and wastewater treatment plant and system operators,51-8031,"$42,760",4.5,38.9,35.5,11.7,8.1,1.1,0.2
Chemical plant and system operators,51-8091,"$54,390",5.6,43.5,31.3,10.9,8.1,0.5,0.0
Gas plant operators,51-8092,"$61,140",5.6,43.5,31.3,10.9,8.1,0.5,0.0
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,"$61,850",5.6,43.5,31.3,10.9,8.1,0.5,0.0
"Plant and system operators, all other",51-8099,"$53,130",5.6,43.5,31.3,10.9,8.1,0.5,0.0
Chemical equipment operators and tenders,51-9011,"$47,100",6.7,38.4,25.2,10.7,15.6,3.1,0.3
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,"$38,570",6.7,38.4,25.2,10.7,15.6,3.1,0.3
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,"$31,830",21.9,48.0,19.7,4.6,4.8,0.8,0.1
"Grinding and polishing workers, hand",51-9022,"$27,890",21.9,48.0,19.7,4.6,4.8,0.8,0.1
"Mixing and blending machine setters, operators, and tenders",51-9023,"$33,840",21.9,48.0,19.7,4.6,4.8,0.8,0.1
"Cutters and trimmers, hand",51-9031,"$24,530",31.2,49.3,12.5,4.5,2.2,0.2,0.0
"Cutting and slicing machine setters, operators, and tenders",51-9032,"$31,430",31.2,49.3,12.5,4.5,2.2,0.2,0.0
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,"$31,310",20.7,50.7,20.5,4.5,3.3,0.0,0.3
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,"$35,530",8.6,51.4,25.9,9.1,5.1,0.0,0.0
"Inspectors, testers, sorters, samplers, and weighers",51-9061,"$34,460",11.6,37.6,25.5,9.3,12.6,2.9,0.5
Jewelers and precious stone and metal workers,51-9071,"$35,350",19.1,30.4,22.8,7.5,14.6,4.8,0.8
Dental laboratory technicians,51-9081,"$36,090",6.5,32.8,32.2,15.9,11.1,0.8,0.6
Medical appliance technicians,51-9082,"$36,100",6.5,32.8,32.2,15.9,11.1,0.8,0.6
Ophthalmic laboratory technicians,51-9083,"$28,590",6.5,32.8,32.2,15.9,11.1,0.8,0.6
Packaging and filling machine operators and tenders,51-9111,"$25,860",34.5,43.2,14.6,3.5,3.5,0.6,0.1
"Coating, painting, and spraying machine setters, operators, and tenders",51-9121,"$30,530",26.1,47.3,19.1,4.2,2.8,0.5,0.0
"Painters, transportation equipment",51-9122,"$39,600",26.1,47.3,19.1,4.2,2.8,0.5,0.0
"Painting, coating, and decorating workers",51-9123,"$27,790",26.1,47.3,19.1,4.2,2.8,0.5,0.0
Semiconductor processors,51-9141,"$33,020",22.2,46.6,20.3,5.5,4.7,0.6,0.2
Photographic process workers and processing machine operators,51-9151,"$23,120",7.2,28.4,30.1,9.2,20.8,3.1,1.2
Adhesive bonding machine operators and tenders,51-9191,"$29,830",24.6,48.4,17.9,4.9,3.2,0.9,0.1
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,"$26,210",35.9,46.5,11.5,3.7,2.4,0.0,0.0
Cooling and freezing equipment operators and tenders,51-9193,"$28,200",22.2,46.6,20.3,5.5,4.7,0.6,0.2
Etchers and engravers,51-9194,"$28,390",9.5,45.2,22.8,6.1,13.8,2.5,0.0
"Molders, shapers, and casters, except metal and plastic",51-9195,"$29,300",19.1,37.7,24.7,5.5,10.1,2.1,0.8
"Paper goods machine setters, operators, and tenders",51-9196,"$34,690",22.4,48.3,19.7,6.0,3.7,0.0,0.0
Tire builders,51-9197,"$41,210",8.4,51.8,33.8,3.8,1.8,0.4,0.0
Helpers--production workers,51-9198,"$22,810",38.4,37.8,18.6,2.3,2.3,0.7,0.0
"Production workers, all other",51-9199,"$26,940",22.2,46.6,20.3,5.5,4.7,0.6,0.2
Aircraft cargo handling supervisors,53-1011,"$47,930",8.1,35.9,30.0,9.0,14.7,2.0,0.3
"First-line supervisors of helpers, laborers, and material movers, hand",53-1021,"$45,180",8.1,35.9,30.0,9.0,14.7,2.0,0.3
First-line supervisors of transportation and material-moving machine and vehicle operators,53-1031,"$53,240",8.1,35.9,30.0,9.0,14.7,2.0,0.3
"Airline pilots, copilots, and flight engineers",53-2011,"$114,200",0.4,4.9,14.1,8.6,59.1,11.2,1.7
Commercial pilots,53-2012,"$73,280",0.4,4.9,14.1,8.6,59.1,11.2,1.7
Air traffic controllers,53-2021,"$122,530",0.2,10.4,33.0,15.5,33.6,6.9,0.5
Airfield operations specialists,53-2022,"$48,080",0.2,10.4,33.0,15.5,33.6,6.9,0.5
Flight attendants,53-2031,"$37,240",0.5,15.9,35.0,11.1,33.8,3.1,0.7
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,"$23,440",12.6,40.0,28.7,8.1,7.8,2.8,0.0
"Bus drivers, transit and intercity ",53-3021,"$36,600",9.6,46.4,28.7,7.3,6.4,1.2,0.3
"Bus drivers, school or special client ",53-3022,"$28,080",9.6,46.4,28.7,7.3,6.4,1.2,0.3
Driver/sales workers,53-3031,"$22,670",18.8,48.9,22.3,5.1,4.3,0.6,0.1
Heavy and tractor-trailer truck drivers,53-3032,"$38,200",18.8,48.9,22.3,5.1,4.3,0.6,0.1
Light truck or delivery services drivers,53-3033,"$29,390",18.8,48.9,22.3,5.1,4.3,0.6,0.1
Taxi drivers and chauffeurs,53-3041,"$22,820",14.9,37.2,24.3,6.6,13.2,2.9,0.9
"Motor vehicle operators, all other",53-3099,"$26,930",16.6,40.0,25.3,5.3,9.3,2.7,0.7
Locomotive engineers,53-4011,"$52,280",1.8,41.3,36.0,10.3,9.9,0.5,0.2
Locomotive firers,53-4012,"$44,920",1.8,41.3,36.0,10.3,9.9,0.5,0.2
"Rail yard engineers, dinkey operators, and hostlers",53-4013,"$41,230",1.8,41.3,36.0,10.3,9.9,0.5,0.2
"Railroad brake, signal, and switch operators",53-4021,"$51,340",2.1,48.8,30.5,6.7,11.9,0.0,0.0
Railroad conductors and yardmasters,53-4031,"$54,700",2.2,40.2,34.5,11.4,10.9,0.7,0.0
Subway and streetcar operators,53-4041,"$62,730",9.6,38.1,31.7,11.3,8.8,0.5,0.0
"Rail transportation workers, all other",53-4099,"$55,080",9.6,38.1,31.7,11.3,8.8,0.5,0.0
Sailors and marine oilers,53-5011,"$38,190",11.0,45.1,23.4,4.8,13.0,2.1,0.6
"Captains, mates, and pilots of water vessels",53-5021,"$66,150",13.4,35.5,23.2,5.0,19.1,3.1,0.7
Motorboat operators,53-5022,"$35,190",13.4,35.5,23.2,5.0,19.1,3.1,0.7
Ship engineers,53-5031,"$70,890",11.0,45.1,23.4,4.8,13.0,2.1,0.6
Bridge and lock tenders,53-6011,"$45,940",4.6,38.5,36.8,8.6,9.4,2.1,0.0
Parking lot attendants,53-6021,"$19,540",18.0,35.2,27.1,7.1,9.4,2.2,1.0
Automotive and watercraft service attendants,53-6031,"$20,140",17.7,46.8,22.1,5.8,6.2,1.0,0.4
Traffic technicians,53-6041,"$38,380",4.6,38.5,36.8,8.6,9.4,2.1,0.0
Transportation inspectors,53-6051,"$63,680",6.8,34.6,31.6,9.9,14.8,2.2,0.2
"Transportation attendants, except flight attendants ",53-6061,"$21,490",14.3,41.3,27.2,4.0,10.3,2.5,0.3
"Transportation workers, all other",53-6099,"$30,870",4.6,38.5,36.8,8.6,9.4,2.1,0.0
Conveyor operators and tenders,53-7011,"$29,610",21.2,51.8,17.1,5.5,3.6,0.9,0.0
Crane and tower operators,53-7021,"$47,290",16.6,54.9,22.6,4.5,1.2,0.1,0.1
Dredge operators,53-7031,"$37,170",21.0,55.4,15.4,3.9,3.8,0.4,0.1
Excavating and loading machine and dragline operators,53-7032,"$38,290",21.0,55.4,15.4,3.9,3.8,0.4,0.1
